Item,QTY Needed,QTY Purchased, Price ,Description,Link
XIAO ESP32 C6,1,1,$9.84 ,The brain!,https://www.aliexpress.us/item/3256807240718259.html?spm=a2g0o.cart.0.0.2c8a38daAsrGCE&mp=1&pdp_npi=5%40dis%21USD%21USD%2010.04%21USD%200.99%21%21USD%200.99%21%21%21%402101d9ee17486551522947928ebc0c%2112000040716079484%21ct%21US%216247076363%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2usa
"2"" LCD Screen",1,1,$8.21 ,Countdown display,https://www.aliexpress.us/item/3256808536058388.html?spm=a2g0o.cart.0.0.2c8a38daAsrGCE&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.90%21USD%208.21%21%21USD%208.21%21%21%21%402101d9ee17486551522947928ebc0c%2112000046393978386%21ct%21US%216247076363%21%211%210&gatewayAdapt=glo2usa
Vertical Limit Switches,10,10,$1.87 ,Coundown reset trigger,https://www.aliexpress.us/item/3256805965729300.html?spm=a2g0o.cart.0.0.2c8a38daAsrGCE&mp=1&pdp_npi=5%40dis%21USD%21USD%201.99%21USD%201.87%21%21USD%201.87%21%21%21%402101d9ee17486552537122050ebc0c%2112000035998743801%21ct%21US%216247076363%21%211%210&gatewayAdapt=glo2usa
Buzzer,1,10,$2.17 ,Alarm,https://www.aliexpress.us/item/3256802480381355.html?spm=a2g0o.cart.0.0.2c8a38daAsrGCE&mp=1&pdp_npi=5%40dis%21USD%21USD%202.37%21USD%202.37%21%21USD%202.37%21%21%21%402101d9ee17486552537122050ebc0c%2112000042917979571%21ct%21US%216247076363%21%211%210&gatewayAdapt=glo2usa
Momentary Buttons,2,6,$1.98 ,Buttons to change the countdown time,https://www.aliexpress.us/item/3256804444014370.html
Solder,1,1,$10.99 ,Ran out of solder,https://pyrodrone.com/products/tbs-solder-spool-100g
Threaded Inserts,4,400,$15.98 ,Hardware for case,https://www.amazon.com/Ktehloy-Threaded-Assortment-Printing-Components/dp/B0CLKDPN65/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY
PCB,1,5,$13.55 ,PCB and shipping from JLCPCB,
,,,,,
Sales Tax,,,$3.96 ,,
Shipping,,,$11.12 ,Aliexpress Shipping,
Shipping,,,$9.77 ,Pyrodrone Shipping,
,,,,,
TOTAL,,,$89.44 ,,
